record_type,scenario,historical_flow_count,hieulw_flow_count,matched_flows_by_bidirectional_identity,reliably_one_to_one_matched_flows,unmatched_historical_flows,unmatched_hieulw_flows,split_identity_groups_historical_gt_hieulw,extra_historical_segments_in_split_groups,merged_identity_groups_hieulw_gt_historical,extra_hieulw_segments_in_merged_groups,orientation_differences,timestamp_difference_seconds,matching_definition,model_feature,historical_header,hieulw_header,count,exact_match_percentage,mean_absolute_difference,median_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,portscan-test,,,,,,,,,,,,,,syn_flag_count,SYN Flag Count,syn_flag_cnt,1000.0,0.0,1.0,1.0,0.4998333333333333,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,rst_flag_count,RST Flag Count,rst_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,psh_flag_count,PSH Flag Count,psh_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,ack_flag_count,ACK Flag Count,ack_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,urg_flag_count,URG Flag Count,urg_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,ece_flag_count,ECE Flag Count,ece_flag_cnt,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,down_up_ratio,Down/Up Ratio,down_up_ratio,1000.0,0.0,0.4998333333333333,0.5,0.5005,0.999999999999998
feature_comparison,portscan-test,,,,,,,,,,,,,,average_packet_size,Average Packet Size,pkt_size_avg,1000.0,0.0,56.666999999999994,56.666666666666664,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,avg_fwd_segment_size,Fwd Segment Size Avg,fwd_seg_size_avg,1000.0,0.0,57.998666666666665,58.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,avg_bwd_segment_size,Bwd Segment Size Avg,bwd_seg_size_avg,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_avg_bytes_bulk,Fwd Bytes/Bulk Avg,fwd_byts_b_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_avg_packets_bulk,Fwd Packet/Bulk Avg,fwd_pkts_b_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_avg_bulk_rate,Fwd Bulk Rate Avg,fwd_blk_rate_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_avg_bytes_bulk,Bwd Bytes/Bulk Avg,bwd_byts_b_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_avg_packets_bulk,Bwd Packet/Bulk Avg,bwd_pkts_b_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_avg_bulk_rate,Bwd Bulk Rate Avg,bwd_blk_rate_avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,subflow_fwd_packets,Subflow Fwd Packets,subflow_fwd_pkts,1000.0,0.0,2.001,2.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,subflow_fwd_bytes,Subflow Fwd Bytes,subflow_fwd_byts,1000.0,0.0,116.054,116.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,subflow_bwd_packets,Subflow Bwd Packets,subflow_bwd_pkts,1000.0,0.0,1.0,1.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,subflow_bwd_bytes,Subflow Bwd Bytes,subflow_bwd_byts,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,init_win_bytes_forward,FWD Init Win Bytes,init_fwd_win_byts,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,init_win_bytes_backward,Bwd Init Win Bytes,init_bwd_win_byts,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,act_data_pkt_fwd,Fwd Act Data Pkts,fwd_act_data_pkts,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,min_seg_size_forward,Fwd Seg Size Min,fwd_seg_size_min,1000.0,0.1,3.996,4.0,0.16649999999999998,
feature_comparison,portscan-test,,,,,,,,,,,,,,active_mean,Active Mean,active_mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,active_std,Active Std,active_std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,active_max,Active Max,active_max,1000.0,100.0,0.0,0.0,0.0,
