scenario,reference_label,feature_index,feature,lab_row_count,reference_row_count,lab_finite_count,reference_finite_count,lab_mean,reference_mean,lab_median,reference_median,lab_std,reference_std,lab_min,reference_min,lab_max,reference_max,ks_statistic,feature_importance,importance_times_ks
DDoS,DDoS,29,bwd_iat_min,10226,128027,10226,128027,214.098572266771,78.57347278308482,0.0,4.0,19633.41596290982,696.0934449177711,0.0,0.0,1985515.0,38006.0,0.1663940279954913,0.0019961488785581465,0.00033214725238197277
DDoS,DDoS,30,fwd_psh_flags,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.303870419908219e-05,0.0
DDoS,DDoS,31,bwd_psh_flags,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,DDoS,32,fwd_urg_flags,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2768897711935716e-07,0.0
DDoS,DDoS,33,bwd_urg_flags,10226,128027,10226,128027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,DDoS,34,fwd_header_length,10226,128027,10226,128027,103.24115000977899,97.09614378217096,104.0,80.0,21.85555975677619,38.29094461552698,0.0,20.0,304.0,232.0,0.5780857353286845,0.011315397571790769,0.006541269925825077
DDoS,DDoS,35,bwd_header_length,10226,128027,10226,128027,68.59612751809114,72.72750279237974,40.0,92.0,68.90266010959901,56.671893689305634,0.0,0.0,208.0,172.0,0.43824786228786194,0.010368096232830675,0.004543796010032878
DDoS,DDoS,36,fwd_packets_s,10226,128027,10226,128027,48859.91987659627,102.13749954984291,1824.8175048828125,1.6728869676589966,319944.14344236284,6338.41569851527,0.0,0.0,3000000.0,1500000.0,0.7171901902580504,0.011131896346437568,0.007983686858634455
DDoS,DDoS,37,bwd_packets_s,10226,128027,10226,128027,3123.9855575938705,70.64839627574932,3.1000157594680786,0.07294940203428268,27630.256739934346,3914.591988364496,0.0,0.0,1000000.0,1000000.0,0.4545501332381252,0.026529619849240283,0.012059042237228982
DDoS,DDoS,38,min_packet_length,10226,128027,10226,128027,0.0,2.1850390933162536,0.0,0.0,0.0,2.887185259136865,0.0,0.0,0.0,6.0,0.36417318221937556,0.007063370336737162,0.0025722900527235144
DDoS,DDoS,39,max_packet_length,10226,128027,10226,128027,306.21944064150205,4606.544877252454,0.0,5755.0,306.9990076972365,3963.7925494540773,0.0,6.0,614.0,11595.0,0.6358033852234295,0.01552659662705139,0.009871862696477956
DDoS,DDoS,40,packet_length_mean,10226,128027,10226,128027,51.523900275824474,736.8852833478485,0.0,833.5,51.93968855544449,584.5453274175356,0.0,2.0,106.875,1936.8333740234375,0.6358033852234295,0.030767526345343982,0.019562097405320757
DDoS,DDoS,41,packet_length_std,10226,128027,10226,128027,104.37269245955707,1577.775487261294,0.0,1903.962646484375,104.7838199226051,1329.8904891764762,0.0,0.0,212.8174591064453,4731.5224609375,0.6358033852234295,0.01800290551455784,0.011446308270013422
DDoS,DDoS,42,packet_length_variance,10226,128027,10226,128027,21873.307400789043,4257342.103769132,0.0,3625073.75,22040.011859900857,4553424.606608572,0.0,0.0,45291.26953125,22400000.0,0.6358033852234295,0.01434066995084838,0.009117846501121312
DDoS,DDoS,43,fin_flag_count,10226,128027,10226,128027,0.0,0.00021089301475470018,0.0,0.0,0.0,0.0145206246040254,0.0,0.0,0.0,1.0,0.00021089301475474276,0.00010119931482582572,2.1342228594732723e-08
