feature,importance_rank,importance,ks_training_vs_experiment_portscan,ks_training_vs_experiment_normal,experiment_portscan_outside_training_range_pct,experiment_portscan_to_training_median_ratio,cicids2017_training_portscan_count,cicids2017_training_portscan_mean,cicids2017_training_portscan_std,cicids2017_training_portscan_min,cicids2017_training_portscan_median,cicids2017_training_portscan_p95,cicids2017_training_portscan_max,cicids2017_training_portscan_percentage_zero,experiment_c_portscan_count,experiment_c_portscan_mean,experiment_c_portscan_std,experiment_c_portscan_min,experiment_c_portscan_median,experiment_c_portscan_p95,experiment_c_portscan_max,experiment_c_portscan_percentage_zero,experiment_c_normal_http_count,experiment_c_normal_http_mean,experiment_c_normal_http_std,experiment_c_normal_http_min,experiment_c_normal_http_median,experiment_c_normal_http_p95,experiment_c_normal_http_max,experiment_c_normal_http_percentage_zero
fwd_header_length.1,22,0.01588471724128783,0.4901933796710481,0.9352427568646342,0.0,1.0,72655,32.93119430541992,11.717341423034668,0.0,40.0,40.0,328.0,0.005505471061867731,1000,40.02000045776367,0.6324555277824402,40.0,40.0,40.0,60.0,0.0,32,115.625,20.15064239501953,40.0,120.0,120.0,140.0,0.0
max_packet_length,23,0.01552659662705139,0.9986924506228064,0.9986924506228064,0.0,9.666666666666666,72655,10.722524642944336,156.1016082763672,0.0,6.0,6.0,5792.0,0.6069781845709173,1000,58.0,0.0,58.0,58.0,58.0,58.0,0.0,32,243.15625,31.114885330200195,110.0,251.0,251.0,251.0,0.0
psh_flag_count,24,0.01536206993729795,0.9992980524396119,0.9375,0.0,0.0,72655,0.9992980360984802,0.026485174894332886,0.0,1.0,1.0,1.0,0.07019475603881357,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,2.8125,0.7378040552139282,0.0,3.0,3.0,3.0,6.25
flow_iat_std,25,0.01466029036765193,0.9766349872685982,0.9211349872685982,0.0,,72655,78691.9375,1706430.375,0.0,0.0,0.0,69200000.0,98.36349872685982,1000,7.396417458949145e-06,2.759269773378037e-05,0.0,1.500000053056283e-06,2.499999936844688e-05,0.0003394999948795885,0.7000000000000001,32,0.001072651706635952,0.0006266903365030885,0.0,0.0011251237010583282,0.0021198169095441696,0.002435598522424698,6.25
bwd_packet_length_max,26,0.014440276938808012,0.9986924506228064,0.9365503062418278,0.0,9.0,72655,10.681674003601074,156.0897216796875,0.0,6.0,6.0,5792.0,0.633129172114789,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,235.3125,61.72960662841797,0.0,251.0,251.0,251.0,6.25
packet_length_variance,27,0.01434066995084838,0.9939164544766361,0.9361924506228064,0.0,0.6666666517655059,72655,3016.651123046875,101843.5625,0.0,5.333333492279053,12.0,4569349.0,0.6083545523363842,1000,3.5550007820129395,0.017568210139870644,3.0,3.555555582046509,3.555555582046509,3.555555582046509,0.0,32,2773.8564453125,730.24951171875,0.0,2970.363525390625,2970.363525390625,2970.363525390625,6.25
flow_bytes_s,28,0.012539916546462302,0.9601982524566215,0.21648201808183687,87.5,410.8333526289067,72559,253628.984375,567290.25,0.0,137931.03125,666666.6875,8000000.0,0.607781253876156,1000,64211188.0,51165384.0,0.0,56666668.0,170000000.0,170000000.0,0.7000000000000001,32,193220.0,115717.6015625,0.0,160531.25,403148.4078125,467980.28125,6.25
flow_iat_mean,29,0.012114044474693029,0.9986786869451517,0.9986786869451517,0.0,3.000000106112566e-08,72655,45456.32421875,986008.1875,0.0,50.0,97.0,39900000.0,0.13213130548482555,1000,7.51216612115968e-06,2.8990607461309992e-05,0.0,1.500000053056283e-06,2.499999936844688e-05,0.00040666665881872177,0.7000000000000001,32,0.0005839135264977813,0.0002891563926823437,0.0,0.0005587166524492204,0.0009888850065181032,0.0011814000317826867,6.25
total_length_of_bwd_packets,30,0.012056970617397567,0.9986924506228064,0.9365503062418278,0.0,9.0,72655,16.44561195373535,345.4771423339844,0.0,6.0,6.0,11595.0,0.633129172114789,1000,54.00400161743164,0.12649111449718475,54.0,54.0,54.0,58.0,0.0,32,518.625,136.5493621826172,0.0,551.0,551.0,617.0,6.25
fwd_iat_max,31,0.012043056920517735,0.016365012731401785,0.9211349872685982,0.0,,72655,138125.171875,2963451.0,0.0,0.0,0.0,120000000.0,98.36349872685982,1000,1.2199999446238508e-06,3.857978663290851e-05,0.0,0.0,0.0,0.0012199999764561653,99.9,32,0.004411125555634499,0.002349795075133443,0.0,0.0045055001974105835,0.007793400087393819,0.009762000292539597,6.25
