record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,normal-http-test,,,,,,,,,,Active Mean,Active Mean,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Active Std,Active Std,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Active Max,Active Max,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Active Min,Active Min,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Idle Mean,Idle Mean,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Idle Std,Idle Std,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Idle Max,Idle Max,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Idle Min,Idle Min,61.0,100.0,0.0,0.0,0.0,1.0
flow_summary,portscan-test,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,"{'min': 0.0, 'median': 0.0, 'max': 0.0}",Protocol and canonical bidirectional five-tuple; Hungarian one-to-one assignment within identity minimizes start-time then duration difference; orientation checked separately.,,,,,,,,
feature_comparison,portscan-test,,,,,,,,,,Flow Duration,Flow Duration,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Tot Fwd Pkts,Total Fwd Packet,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Tot Bwd Pkts,Total Bwd packets,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,TotLen Fwd Pkts,Total Length of Fwd Packet,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,TotLen Bwd Pkts,Total Length of Bwd Packet,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkt Len Max,Fwd Packet Length Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkt Len Min,Fwd Packet Length Min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkt Len Mean,Fwd Packet Length Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkt Len Std,Fwd Packet Length Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkt Len Max,Bwd Packet Length Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkt Len Min,Bwd Packet Length Min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkt Len Mean,Bwd Packet Length Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkt Len Std,Bwd Packet Length Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Flow Byts/s,Flow Bytes/s,993.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Flow Pkts/s,Flow Packets/s,993.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Flow IAT Mean,Flow IAT Mean,1000.0,100.0,0.0,0.0,0.0,0.9999999999999999
feature_comparison,portscan-test,,,,,,,,,,Flow IAT Std,Flow IAT Std,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Flow IAT Max,Flow IAT Max,1000.0,100.0,0.0,0.0,0.0,0.9999999999999999
