comparison,feature,E13-D1_min,E13-D1_q1,E13-D1_median,E13-D1_mean,E13-D1_q3,E13-D1_max,E13-D1_std,E4-frozen-DDoS_min,E4-frozen-DDoS_q1,E4-frozen-DDoS_median,E4-frozen-DDoS_mean,E4-frozen-DDoS_q3,E4-frozen-DDoS_max,E4-frozen-DDoS_std,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance,E13-D2_min,E13-D2_q1,E13-D2_median,E13-D2_mean,E13-D2_q3,E13-D2_max,E13-D2_std,E10-Session-11_min,E10-Session-11_q1,E10-Session-11_median,E10-Session-11_mean,E10-Session-11_q3,E10-Session-11_max,E10-Session-11_std
E13-D1 vs E10-Session-11,bwd_packets_s,0.0,0.0,948.7666015625,1018.063074288148,1857.01025390625,9090.9091796875,1111.6492649874597,,,,,,,,432.21374843750004,0.3512294321159204,0.31297603071434,,,,,,,,0.0,0.0,1380.98035,1310.3925241396507,2461.164175,5988.024,1338.9771433724702
E13-D1 vs E10-Session-11,min_packet_length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,max_packet_length,0.0,0.0,0.0,92.38451935081149,185.0,185.0,92.55772231450999,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,92.26932668329177,185.0,185.0,92.55743451198941
E13-D1 vs E10-Session-11,packet_length_mean,0.0,0.0,0.0,18.37775094440665,37.375,42.0,18.46080835412133,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,18.431422940149623,37.375,37.375,18.516397043003472
E13-D1 vs E10-Session-11,packet_length_std,0.0,0.0,0.0,32.74097290705801,66.02583312988281,66.02583312988281,32.81786138208064,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,32.77573825187032,66.02583,66.02583,32.886698179733784
E13-D1 vs E10-Session-11,packet_length_variance,0.0,0.0,0.0,2147.6387404538273,4359.41064453125,4359.41064453125,2155.430202771856,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,2154.4355501246887,4359.4106,4359.4106,2163.2912495375626
E13-D1 vs E10-Session-11,fin_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,syn_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,rst_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,psh_flag_count,0.0,0.0,0.0,0.4993757802746567,1.0,1.0,0.5003120125108647,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.49875311720698257,1.0,1.0,0.5003104568215645
E13-D1 vs E10-Session-11,ack_flag_count,0.0,0.0,1.0,0.5006242197253433,1.0,1.0,0.5003120125108647,,,,,,,,0.5,0.9993763543013905,1.0,,,,,,,,0.0,0.0,0.5,0.5,1.0,1.0,0.5003120125108648
E13-D1 vs E10-Session-11,urg_flag_count,0.0,0.0,0.0,0.04244694132334582,0.0,1.0,0.20173250851996513,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.03740648379052369,0.0,1.0,0.18987414678763523
E13-D1 vs E10-Session-11,cwe_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,ece_flag_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,down_up_ratio,0.0,0.0,1.0,0.5343320848938826,1.0,1.0,0.4991315804292219,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.5349127182044888,1.0,1.0,0.4990908637212571
E13-D1 vs E10-Session-11,average_packet_size,0.0,0.0,0.0,20.961856187208465,42.71428680419922,47.25,21.06895438749915,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,21.03566191396509,42.714287,42.714287,21.140526970195147
E13-D1 vs E10-Session-11,avg_fwd_segment_size,0.0,0.0,0.0,12.79846054129535,26.33333396911621,39.5,12.942518714876476,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,12.838321168329179,26.333334,26.333334,12.951223381056673
E13-D1 vs E10-Session-11,avg_bwd_segment_size,0.0,0.0,0.0,27.30087390761548,55.0,55.0,27.38422194869394,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,27.36284289276808,55.0,55.0,27.461865801618853
